series,tp,bn,cs,gs
HAUGAN,0,0,1,1
HAW RIVER,0,0,0,1
HEADWATERS,0,0,1,1
HAZELAIR,0,0,1,0
HEDOES,0,0,1,0
HEDOX,0,0,0,1
HEDSTROM,0,0,0,1
HEISKELL,0,0,1,1
HELENA,0,0,1,1
HELMVILLE,0,0,1,0
HENDON,0,0,0,1
HENDRICKS,0,0,1,0
HENHOIT,0,0,0,1
HENLOPEN,0,0,1,1
HOODLE,0,0,1,0
HENNEBERRY,0,0,1,0
HERDCAMP,0,0,0,1
HERRING CREEK,0,0,0,1
HESPER,0,0,0,1
HEWOLF,0,0,1,1
HIBRITEN,0,0,1,1
HICKORYKNOB,0,0,1,1
HIDEAWAY,0,0,1,0
HIGHAMS,0,0,0,1
HILGER,0,0,1,1
HILINE,0,0,0,1
HILLERY,0,0,0,1
HILLON,0,0,1,1
HINGHAM,0,0,0,1
HINTERLAND,0,0,0,1
HOLDERMAN,0,0,1,1
HIVAL,0,0,1,0
HODGE,0,0,0,1
HOEHNE,0,0,1,0
HOGHEAVEN,0,0,0,1
HOGHOLE,0,0,1,1
HOGSBY,0,0,1,1
HOLLANDLAKE,0,0,0,1
HOLMDEL,0,0,1,1
HOLTER,0,0,1,0
HOMESTEAD,0,0,0,1
HONDU,0,0,1,0
HONGA,0,0,1,1
HOOKSAN,0,0,1,1
HOOLIGAN,0,0,0,1
HOOSAN,0,0,1,0
HOPLEY,0,0,0,1
HORSEGRASS,0,0,1,0
HOSKIN,0,0,0,1
HUMMINGTON,0,0,1,1
HOULIHAN,0,0,1,0
HOYT,0,0,1,1
HUENEME,0,0,0,1
HUFFINE,0,0,0,1
HUGHESVILLE,0,0,0,1
HULUA,0,0,0,1
HUMAREL,0,0,1,0
HUMESTON,0,0,1,0
HURLOCK,0,0,0,1
HUSS,0,0,1,1
HUTTULA,0,0,0,1
HYALITE,0,0,1,1
HYDE,0,0,0,1
HYSHAM,0,0,0,1
IAO,0,0,0,1
ICECAP,0,0,1,1
IDANHA,0,0,1,1
IDMONTON,0,0,0,1
IGOR,0,0,1,0
IKIT,0,0,0,1
INARAJAN,0,0,0,1
INARI,0,0,0,1
INDIAHOMA,0,0,0,1
INDIAN RIVER,0,0,0,1
INGLESIDE,0,0,1,1
