series,tp,bn,cs,gs
CAVAL,0,1,0,0
CEDRIC,0,0,0,1
CHEADLE,0,0,1,0
CLANCY,0,0,0,1
CLASOIL,0,0,1,0
COMAD,0,0,1,0
COMETCRIK,0,0,0,1
CONN,0,0,1,0
COOKSON,0,1,0,0
COURVASH,0,0,0,1
COWCOULEE,0,1,0,0
DAST,0,0,0,1
DENVACA,0,1,0,0
DES MOINES,0,1,0,0
DESIOUX,0,1,0,0
DEUCE,0,1,0,0
DEVILFENCE,0,0,0,1
DEVILLE,0,0,0,1
DEWBERRY,0,0,1,1
DILLON,0,0,1,0
DISTERHEFF,0,1,0,0
DONEY,0,0,0,1
DREDGE,0,1,0,0
DRYWOLF,0,1,0,0
DUCKBOTTOM,0,1,1,1
EAGAR,0,1,0,0
EL PECO,0,0,0,1
ELFLINT,0,0,0,1
ELKROCK,0,0,0,1
ELMARK,0,0,0,1
ELMENWOOD,0,1,0,0
ELVE,0,0,1,0
ETTIENRIDGE,0,1,0,0
FAIRWAY,0,0,1,0
FAITH,0,0,0,1
FANDOW,0,1,0,0
FERBALL,0,0,1,0
FERGUS,0,0,0,1
FERNLINE,0,0,0,1
FESSLER,0,0,0,1
FINN,0,0,1,0
FIRETOWER,0,0,0,1
FLASKAN,0,1,0,0
FLEECER,0,0,0,1
FORTBENTON,0,0,0,1
FOXGULCH,0,0,0,1
FRANCONI,0,0,0,1
GARDENCREEK,0,0,0,1
GLACIERCREEK,0,0,0,1
GOLDFLINT,0,0,0,1
GOOSEBURY,0,1,0,0
GRITER,0,1,0,0
HAGGARD,0,0,0,1
HALCOTT,0,1,0,0
HANDKE,0,0,0,1
HAUZ,0,0,0,1
HAVRE,0,0,0,1
HAXBY,0,0,1,0
HIGHWOOD,0,1,1,0
HILMAR,0,0,0,1
HISNA,0,0,0,1
HOGAN,0,0,0,1
HOHMANN,0,0,0,1
HORNITOS,0,0,0,1
HOWCAN,0,1,0,0
HUFMAN,0,0,0,1
HUSE,0,0,0,1
HUTCHLEY,0,1,0,0
IBEX,0,0,0,1
IFFGULCH,0,0,0,1
IKE,0,1,0,0
INEL,0,1,0,0
JANKOSH,0,0,0,1
JIMBEE,0,1,0,0
JONDA,0,1,0,0
JONESCREEK,0,1,1,0
JOPLIN,0,0,0,1
JORAIBI,0,1,0,0
JULIUS,0,0,0,1
KADYGULCH,0,0,0,1
KALSTED,0,0,1,0
KELLYGULCH,0,0,1,0
KEVIN,0,0,0,1
KLASI,0,0,0,1
KLUG,0,1,0,0
KOBARTER,0,0,0,1
KOKORUDA,0,0,0,1
KOUNTER,0,0,0,1
KRAUSE,0,0,0,1
KREMLIN,0,0,0,1
KRUTAR,0,0,0,1
KURO,0,0,0,1
KUSLINAD,0,0,0,1
LESIER,0,0,1,0
LAMEDEER,0,0,0,1
LARCHPOINT,0,0,0,1
LARDELL,0,0,0,1
LEAHY,0,1,0,0
LEANTO,0,1,0,0
LEAVITT,0,0,1,0
LEDGER,0,0,0,1
LIONWOOD,0,0,0,1
LOMAKI,0,1,0,0
LONEMAN,0,0,0,1
MACIVER,0,0,1,0
LOWDER,0,0,0,1
LULUDE,0,0,1,0
LUMPGULCH,0,0,1,0
MANKOMEN,0,0,0,1
LYNCHLAKE,0,0,1,0
MACAR,0,0,0,1
MACMEAL,0,0,0,1
MADBEAVER,0,0,1,0
MADRID,0,1,0,0
MAPLECREST,0,1,0,0
MARIA,0,0,0,1
MARJANE,0,1,0,0
MATHESON,0,1,0,0
MCCABE,0,0,0,1
MCCALEB,0,1,0,0
MCDONALD,0,0,0,1
MEAVER,0,0,1,0
MCKENTON,0,0,1,0
MCMANUS,0,0,0,1
MEDICINE,0,1,0,0
MENAN,0,1,0,0
MEXICO,0,1,0,0
MERIWHITICA,0,1,0,0
MIKESELL,0,0,1,0
MINESTOPE,0,0,0,1
MITTEN,0,0,0,1
MOCMONT,0,0,0,1
MODESS,0,0,0,1
MOIESE,0,0,1,1
MOLLMAN,0,0,0,1
MOLTONER,0,0,0,1
MONABERG,0,0,1,0
MOOSEFLAT,0,0,1,0
MOOSEJAW,0,0,0,1
MURRSTEAD,0,0,0,1
MUSSIGBROD,0,0,1,1
NALAKI,0,1,0,0
NAMON,0,1,0,0
NARGON,0,1,0,0
NEEN,0,0,1,0
NESTLEY,0,0,0,1
NIEMAN,0,0,1,0
NOXLIN,0,0,0,1
NUTRIOSO,0,1,0,0
NYTHAR,0,0,0,1
OLDTRAIL,0,0,0,1
OPITZ,0,0,0,1
PACKMO,0,1,0,0
PAINT,0,1,0,0
PASSMORE,0,0,0,1
PANCHERI,0,1,0,0
PAPPASCREEK,0,0,0,1
PASTERN,0,1,0,0
PEERS,0,1,0,0
PIANOHILL,0,0,1,0
PIERIVER,0,0,0,1
PINGREE,0,1,0,0
PITCHSTONE,0,0,0,1
PIUTE,0,1,0,0
PLAZA,0,0,1,1
PLIMPTON,0,0,1,0
POHLOD,0,1,1,0
POLACCA,0,1,0,0
POLEY,0,1,0,0
POVERTY,0,0,1,0
PROGRESSO,0,1,0,0
PUTNEY,0,0,0,1
QUAGWA,0,1,0,0
QUIVERA,0,1,0,0
RAGHORN,0,0,0,1
RATIOPEAK,0,0,1,0
REDFERN,0,0,0,1
REDLOCK,0,0,0,1
RELEEP,0,0,0,1
REPKIE,0,0,1,0
RIDGE,0,0,0,1
RIVRA,0,0,0,1
ROEGULCH,0,0,1,0
ROCHESTER,0,0,1,0
ROCKERJOHN,0,0,0,1
ROOTEL,0,0,0,1
RUNE,0,1,0,0
SANCRANE,0,1,0,0
SANSDESSEIN,0,1,0,0
SAPPHIRE,0,0,0,1
SARBO,0,0,0,1
SAWICKI,0,0,1,0
SCALPLOCK,0,0,1,0
SCOTMONT,0,0,0,1
SELOW,0,0,0,1
SHABOOM,0,0,0,1
SIBBETT,0,0,0,1
SIEBERELL,0,0,1,1
SILVERCHIEF,0,0,0,1
SIXBEACON,0,0,0,1
SKYVIEW,0,0,0,1
SLIDE,0,1,0,0
SOELBERG,0,1,0,0
SPARMO,0,1,0,0
STARGULCH,0,0,1,1
STUBBLEFIELD,0,1,0,0
SURDAL,0,0,1,0
SWEDNA,0,0,0,1
SWILLNA,0,0,0,1
WHITORE,0,0,1,0
TAMARACK,0,0,1,0
TANGOE,0,0,0,1
TECHICKNOT,0,1,0,0
TELAY,0,0,0,1
TELSTAD,0,0,0,1
TENDERFOOT,0,1,0,0
TEPECREEK,0,0,0,1
TERRODD,0,1,0,1
THAINCREEK,0,1,1,0
TOKO,0,0,0,1
TOLEX,0,0,0,1
TOSTON,0,0,0,1
TRAPPS,0,0,0,1
TRELOAR,0,1,0,0
TRUDAU,0,0,1,0
TUSCOLA,0,1,0,0
TUWEEP,0,1,0,0
TWINADAMS,0,0,1,0
TYENDE,0,1,0,0
UDECIDE,0,0,0,1
VERSON,0,0,0,1
VIDA,0,0,0,1
VISION,0,0,0,1
WARNE,0,0,1,1
WEEDZUNIT,0,0,0,1
WETPARK,0,1,0,0
WHITE STORE,0,1,0,0
WHITEPINE,0,0,0,1
WICKES,0,0,1,0
WILDE,0,0,0,1
WILSALL,0,1,0,0
WILSPRING,0,0,0,1
WIMPER,0,0,1,0
WINONA,0,1,0,0
WINSHIP,0,0,0,1
YAPLE,0,0,1,0
YMARK,0,0,0,1
ZAHILL,0,0,0,1
ZBART,0,0,0,1
ZEALE,0,1,0,0
ZER,0,1,0,0
ZONITE,0,0,0,1
